,Aggregated name,Species links,Catalogue of Fishes ID,Taxonomic standing,Eschmeyer accepted name 
fila.74,Alburnus-mento,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=64298,64298,Valid,Alburnus mento
fila.75,Alburnus-mentoides,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=49324,49324,Valid,Alburnus mentoides
fila.76,Alburnus-nicaeensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=42762,42762,Valid,Alburnus nicaeensis
fila.77,Alburnus-sarmaticus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=69841,69841,Valid,Alburnus sarmaticus
fila.78,Alburnus-sava,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=75002,75002,Valid,Alburnus sava
fila.79,Alburnus-schischkovi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=39304,39304,Valid,Alburnus schischkovi
fila.80,Alburnus-scoranza,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=51273,51273,Valid,Alburnus scoranza
fila.81,Alburnus-tarichi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=51758,51758,Valid,Alburnus tarichi
fila.82,Alburnus-vistonicus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=69843,69843,Valid,Alburnus vistonicus
fila.83,Alburnus-volviticus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=69842,69842,Valid,Alburnus volviticus
fila.84,Aldrichetta-forsteri,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=21358,21358,Valid,Aldrichetta forsteri
fila.85,Alepes-djedaba,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=15440,15440,Valid,Alepes djedaba
fila.86,Alestes-baremoze,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3853,3853,Valid,Alestes baremoze
fila.87,Alestes-dentex,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3866,3866,Valid,Alestes dentex
fila.88,Alestes-macrophthalmus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3891,3891,Valid,Alestes macrophthalmus
fila.89,Algansea-tincella,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3169,3169,Valid,Algansea tincella
